city_name,address,attraction_type,theme
나라,사루사와 연못 奈良県奈良市登大路町49,자연경관,오리 헤엄치는 물거울 위 오층탑 반영이 아름다운 야경
취리히,반호프슈트라세 Bahnhofstrasse 8001 Zürich,쇼핑거리,세계 5대 명품 거리 초콜릿·시계 쇼핑 성지
취리히,취리히 호수 크루즈 선착장 Bürkliplatz 8001 Zürich,체험,유람선 타고 눈 덮인 산과 호수 풍경을 여유롭게 감상
취리히,린덴호프 언덕 Lindenhof 8001 Zürich,전망대,로마 요새 유적 위에서 구시가와 강을 내려다보는 포토 포인트
취리히,스위스 국립박물관 Museumstrasse 2 8001 Zürich,박물관,선사시대부터 현대까지 스위스 문화 일별하는 필수 코스
취리히,프라우뮌스터 교회 Stadthausquai 19 8001 Zürich,교회,샤갈 스테인드글라스 창으로 유명한 성당
취리히,쿤스트하우스 취리히 Heimplatz 1 8001 Zürich,미술관,지아코메티·모네 컬렉션 등 유럽 걸작 감상
취리히,임 비어할덴 숲 Zürcherstrasse 8044 Zürich,자연경관,도심 근교 하이킹 푸른 능선서 도시 전경 일망무제
취리히,니더도르프 Niederdorfstrasse 8001 Zürich,거리,중세 골목과 비스트로 야간 라이브재즈가 낭만적인 곳
취리히,오페라 하우스 취리히 Falkenstrasse 1 8008 Zürich,공연장,세계적 성악가 무대와 호숫가 테라스가 어우러진 문화 랜드마크
취리히,Uetliberg 전망대 Uetliberg 8143 Zürich,전망대,트레킹 후 871m 타워에서 알프스와 호수 전경을 한눈에
인터라켄,하더 쿨름 Harder Kulm 3800 Interlaken,전망대,톱니바퀴 열차 타고 오르는 1322m 스카이워크 융프라우 파노라마
인터라켄,융프라우요흐 Jungfraujoch Top of Europe,체험,유럽 최고역 3454m 얼음궁전과 스핑크스 전망대 탐험
인터라켄,호헤마트 공원 Höheweg 3800 Interlaken,공원,패러글라이더 착륙과 알프스 배경 인생샷 포인트
인터라켄,툰 호수 크루즈 Thunersee,체험,증기선 타고 성채 마을 돌아보는 호수 여행
인터라켄,브리엔츠 호수 블라우지 Brienzersee,자연경관,터키석 빛 호수와 폭포 카약·SUP 액티비티 명소
인터라켄,슈타우프바흐 폭포 Lauterbrunnen,자연경관,90m 절벽에서 쏟아지는 폭포 계곡 마을이 동화 같은 풍경
인터라켄,아이거 트레일 Alpiglen‑Kleine Scheidegg,트레킹,북벽 아래 초원 산책로 야생화와 목동 종소리 가득
인터라켄,베아트 동굴 Beatushöhlen,동굴,지하 호수와 종유석 감상 용 전설 남은 신비 공간
인터라켄,그린델발트 퍼스트 Grindelwald-First,체험,클리프 워크 스카이브릿지와 마운틴 카트 체험이 짜릿
인터라켄,Schynige Platte 알파인 가든 Wilderswil,정원,산악열차 종점 고산 식물원 에델바이스 만발
루체른,카펠교 Kapellbrücke 6003 Luzern,랜드마크,14세기 목조 다리와 수상 팔각탑 야경 반영이 환상
루체른,무제크 성벽 Museggmauer 6004 Luzern,역사유적,중세 시계탑 오르며 루체른 시내 한눈에 조망
루체른,빈사의 사자상 Löwendenkmal Denkmalstrasse 4,기념물,프랑스 혁명 전사 추모 조각 조용한 연못과 숲 속
루체른,리기산 Mount Rigi,자연경관,유럽 최초 산악 열차 타고 올라가는 360도 호수 전망
루체른,필라투스 곤돌라 Pilatusbahn,체험,세계 최고 경사 톱니열차와 드래곤 전설 정상 스카이워크
루체른,교통박물관 Lidostrasse 5 6006 Luzern,박물관,기차·비행기·우주선을 인터랙티브하게 체험
루체른,로이스 강 유람선 Bahnhofquai 6003 Luzern,체험,호수와 강 따라 클래식 보트로 느긋한 크루즈
루체른,올드타운 루체른 Kornmarkt 6004 Luzern,거리,벽화 건물과 카페 주말 장터로 활기찬 구시가지 산책
루체른,메글린거리 시장 Helvetiaplatz 6003 Luzern,시장,치즈·샬레 빵 등 스위스 미식 체험
루체른,글래시어 가든 Denkmalstrasse 4a 6002 Luzern,박물관,빙하 협곡·미러 미로 등 지질 체험 명소
베른,구시가지 Altstadt Bern,역사유적,아레강 곡선 따라 이어진 중세 아케이드와 시계탑 유네스코 세계유산
베른,츠이트글로겐 시계탑 Marktgasse 67 3011 Bern,랜드마크,천문시계 인형 퍼포먼스 매시 정각마다 관람객 모여
베른,곰 공원 Grosser Muristalden 6 3006 Bern,동물원,도심 절벽 아래 곰 서식지 베른 이름의 유래 체험
베른,연방궁 Bundesplatz 3 3003 Bern,정부청사,스위스 정치 심장부 분수 쇼와 야경이 아름다운 광장
베른,Rosengarten 장미정원 Alter Aargauerstalden 31B,정원,200종 장미 향기와 구시가지 파노라마 피크닉 스팟
베른,파울 클레 센터 Monument im Fruchtland 3 3006 Bern,미술관,렌조 피아노 설계 건물 클레 작품 4000점 소장
베른,자이테겔트빌 폭포 Bern Region,자연경관,밀림 같은 협곡 속 쉼터 시원한 하이킹 코스
베른,베른 역사박물관 Helvetiaplatz 5 3005 Bern,박물관,아인슈타인 전시와 켈트 유물로 유명
베른,뮌스터 대성당 Münsterplatz 1 3000 Bern,교회,스위스 최고 높이 첨탑 계단 올라 알프스 조망
베른,니데그 다리 Nydeggbrücke 3011 Bern,랜드마크,강 위 아치교에서 물안개와 구시가지 석양 감상
마드리드,프라도 미술관 Calle Ruiz de Alarcón 23 28014 Madrid,미술관,고야·벨라스케스 걸작 소장 월요일 무료 입장
마드리드,마요르 광장 Plaza Mayor 28012 Madrid,광장,17세기 아치형 건물 둘러싼 바와 거리공연 칼라마리 샌드위치 필수
마드리드,왕궁 Calle de Bailén 28071 Madrid,궁전,스페인 왕실 역사와 무도회장 근위병 교대식 관람
마드리드,레티로 공원 Plaza de la Independencia 28001 Madrid,공원,보트 타는 인공 호수와 수정궁 현지인 휴식처
마드리드,그란 비아 Gran Vía 28013 Madrid,쇼핑거리,브로드웨이 스타일 뮤지컬 극장과 패션 매장 활기
마드리드,산 미겔 시장 Plaza de San Miguel 28005 Madrid,시장,타파스·햄·상그리아 한자리 미식 투어
마드리드,티센 보르네미사 미술관 Paseo del Prado 8,미술관,르네상스부터 팝아트까지 시대별 작품 감상
마드리드,소로야 미술관 Paseo del General Martínez Campos 37,미술관,햇빛 화가 소로야의 저택과 정원 인상파 컬렉션
마드리드,템플로 데 데보드 Calle Ferraz 1,역사유적,이스라엘 지원 보답으로 받은 이집트 신전 석양 명소
마드리드,차마르틴 플라멩코 극장 Calle Nebraska 2,공연장,정열적 플라멩코 쇼와 하몽 플래터 즐길 수 있는 밤
세비야,세비야 대성당 & 히랄다 탑 Av. de la Constitucion 41004 Sevilla,교회,세계 최대 고딕 성당과 물라데 시절 첨탑 도시 전경 전망
세비야,스페인 광장 Av. Isabel la Católica 41004 Sevilla,광장,아주카레조 타일 벤치와 곤돌라 운하 영화촬영 배경지
세비야,알카사르 왕궁 Patio de Banderas 41004 Sevilla,궁전,무데하르 장식의 정원 미로 왕실의 현 사용 궁전
세비야,트리아나 시장 Calle San Jorge 6 41010 Sevilla,시장,하몽·올리브 맛보기와 현지 플라멩코 학교 체험
세비야,메트로폴 파라솔 Plaza de la Encarnación 41003 Sevilla,전망대,거대한 버섯 모양 데크 위에서 일몰 감상
세비야,마리아 루이사 공원 Paseo de las Delicias 41013 Sevilla,공원,시원한 분수와 올리브 나무 그늘 자전거 피크닉 인기
세비야,플라멩코 박물관 Calle Manuel Rojas Marcos 3,박물관,의상·기타 전시와 라이브 공연으로 플라멩코 역사 탐방
세비야,과달키비르 강 유람선 Muelle de Nueva York,체험,도시 스카이라인과 역사적 다리 아래를 잔잔히 크루즈
세비야,라스 세타스 야간 조명 쇼 Plaza de la Encarnación,체험,파스텔 빛 조명이 목재 구조를 물들이는 야경 명소
세비야,산타크루스 지구 골목길 Barrio de Santa Cruz,거리,화이트 워시 벽과 오렌지 꽃 향기 퍼지는 미로 같은 올드타운
그라나다,알함브라 궁전 Calle Real de la Alhambra 18009 Granada,궁전,이슬람 건축 정수 나스르 궁과 헨랄리페 정원 야경 투어 인기
그라나다,사크로몬테 동굴 플라멩코 Camino del Sacromonte,공연장,집시 동굴 속 손뼉 울림 열정적 집시춤 체험
그라나다,알바이신 전망대 Mirador de San Nicolás,전망대,석양 물든 알함브라와 시에라네바다 설봉 조망
그라나다,카테드랄 데 그라나다 Calle Gran Vía de Colón 5,교회,르네상스 거대 돔과 왕실 예배당 가우디 묘소
그라나다,카테드랄 데 그라나다 Calle Gran Vía de Colón 5,교회,이사벨 여왕 묘소와 웅장한 르네상스 돔이 돋보이는 대성당
그라나다,바누엘로 아랍 목욕탕 Carrera del Darro 31,역사유적,11세기 보존 목욕탕 별빛 창문 천장과 터키식 증기 체험
그라나다,다로 강 골목 Carrera del Darro,거리,자갈길·마르시판 카페 늘어선 강변 산책로 밤 분위기 로맨틱
그라나다,티타니 레스토랑 테라스 Placeta de los Peregrinos,카페,알함브라 뷰 루프탑에서 민트차와 타파스
그라나다,티타니 레스토랑 테라스 Placeta de los Peregrinos,카페,알함브라 야경을 바라보며 민트차와 타파스로 여유로운 밤
그라나다,카르멘 데 로스 마르티레스 정원 Paseo de los Mártires,정원,호수와 공작 로맨틱 분수 정원으로 웨딩사진 명소
바르셀로나,사그라다 파밀리아 Carrer de Mallorca 401,교회,가우디 미완성 대성당 화려한 스테인드글라스 빛이 압도
바르셀로나,구엘 공원 Carrer d'Olot 5,공원,모자이크 도마뱀과 컬러 벤치 시내 전망 사진 핫스팟
바르셀로나,카사 바트요 Passeig de Gràcia 43,건축물,바다 파도 형상 파사드 내부 오디오 가이드 인기
바르셀로나,람블라스 거리 La Rambla,거리,플라타너스 가로수 따라 노천카페·인형탈 공연 소매치기 주의
바르셀로나,보케리아 시장 La Boqueria La Rambla 91,시장,과일 주스·이베리코 햄 등 오감 자극 푸드마켓
바르셀로나,캄프 누 스타디움 투어 C. d'Arístides Maillol,체험,FC바르셀로나 역사관·선수 라커룸 체험 축구팬 필수
바르셀로나,몬주익 마법 분수 Plaça de Carles Buïgas,공연장,밤하늘 수백 색 조명·음악 분수 쇼 무료 관람
바르셀로나,포블레 누 해변 Platja del Poblenou,해변,현지인 조깅·서핑 인기 여유로운 지중해 일광욕
바르셀로나,바르셀로네타 해산물 거리 Carrer de la Maquinista,거리,신선한 파에야·타파스 식당 즐비한 바닷가 골목
바르셀로나,카탈루냐 음악당 C/ Palau de la Música 4-6,공연장,스테인드 글래스 천장 콘서트홀 낮 투어·야간 공연 모두 인기
나트랑,포나가르 참 사원 61 Hai Tháng Tư Nha Trang,사원,8세기 참파왕국 힌두 사원 향내 가득한 돌탑
나트랑,빈펄 랜드 워터파크 Hon Tre Island,테마파크,워터슬라이드·케이블카·아쿠아리움 종합 리조트
나트랑,나트랑 대성당 19 Ngô Đức Kế Nha Trang,교회,고딕 창문 스테인드글라스와 시계탑 사진 스팟
나트랑,롱선 사원 22 Đường 23/10 Nha Trang,사원,대형 백불상과 계단 벽화 탁 트인 시내 전망
나트랑,혼총 석호 Hòn Chồng Nha Trang,자연경관,기암괴석과 에메랄드 바다 일출 감성 포인트
나트랑,다이빙 스쿨 보트 투어 Nha Trang Port,체험,산호초 스쿠버다이빙 및 바다거북 조우 체험
나트랑,담 시장 Ben Cho Nha Trang,시장,로컬 간식·수산물·커피 원두 쇼핑 천국
나트랑,알마니티 스파 72-74 Trần Phú Nha Trang,스파,베트남 전통 마사지와 허브 사우나로 피로 해소
나트랑,아이리조트 머드스파 11E Nguyễn Tất Thành Nha Trang,스파,천연 진흙욕 체험과 워터슬라이드 동시 즐김
나트랑,바일런 폭포 트레킹 Ba Ho Waterfalls,트레킹,정글 속 삼단 폭포 점프와 자연 수영장 모험
달랏,린프억 사원 QL20 Dalat,사원,세라믹 모자이크 용 조각과 7층 탑 독특한 불교 사원
달랏,달랏 야시장 Nguyen Thi Minh Khai Dalat,시장,밤 6시부터 딸기잼·아보카도 아이스크림·길거리 BBQ 가득
달랏,투옌람 호수 Ward 3 Dalat,자연경관,소나무 숲 둘러싼 거울 호수 카약과 호수 산책 인기
달랏,달랏 케이블카 Robin Hill Station,체험,호수 위 2.4km 케이블카에서 도시·농장 파노라마 조망
달랏,러브 밸리 Phu Dong Thien Vuong Dalat,공원,하트 모양 호수와 꽃길 연인 테마 사진존
달랏,프렌치 콜로니얼 구시가지 Tran Hung Dao Street,거리,노란 식민지풍 빌라와 인스타 감성 카페 밀집
달랏,Datanla 폭포 QL20 Prenn Pass Dalat,자연경관,알파인 코스터 타고 내려가는 스릴 만점 폭포 체험
달랏,달랏 꽃 정원 Tran Quoc Toan Dalat,정원,연중 꽃 전시와 사진용 조형물 1월 꽃축제 개최
달랏,Truc Lam 선원 Phung Hoang Mountain,사원,케이블카 종점 고즈넉한 선불교 사찰 소나무 향 가득
달랏,크레이지 하우스 03 Huynh Thuc Khang Dalat,건축물,동화 속 나무 형상 건축 미로 같은 내부 탐험
