name,city_name,address,room_type,price,theme,rating
스위소텔 난카이 오사카,오사카,大阪府大阪市中央区難波5-1-60,4인실,270000,난카이 난바역 직결 가족 단위 여행에게 인기 높은 전망 호텔,4.4
호텔 한큐 인터내셔널,오사카,大阪府大阪市北区茶屋町19-19,4인실,220000,천장 높은 로비와 클래식 객실 한큐라인 접근성 우수,4.2
APA 호텔 도톤보리,오사카,大阪府大阪市中央区宗右衛門町1-3,2인실,80000,도톤보리 강변 1분 저렴하지만 깔끔한 비즈니스 호텔,3.9
힐튼 오사카,오사카,大阪府大阪市北区梅田1-8-8,스위트,400000,JR오사카역 바로 앞 아침뷔페와 라운지가 호평,4.5
콘래드 오사카,오사카,大阪府大阪市北区中之島3-2-4,스위트,520000,40층 인피니티 뷰와 현대미술 느낌 로비 모던 럭셔리의 정수,4.8
다이와 로이넷 우메다,오사카,大阪府大阪市北区芝田1-2-1,2인실,100000,넓은 객실 대비 합리적 가격 주변 맛집 밀집,4.1
온야도 노노 난바,오사카,大阪府大阪市浪速区日本橋1-4-18,도미토리,60000,온천이 있는 일본식 캡슐호텔 새벽 라멘 무료 제공,4.3
W 오사카,오사카,大阪府大阪市中央区南船場4-1-3,스위트,550000,감각적인 네온 인테리어 루프톱 바와 클럽 분위기,4.6
더 리츠칼튼 교토,교토,京都府京都市中京区鴨川二条大橋畔,스위트,620000,가모가와 강변 료칸풍 럭셔리 니시키 시장까지 산책 가능,4.9
하야트 리젠시 교토,교토,京都府京都市東山区三十三間堂廻り644番地2,스위트,450000,쿄토 국립박물관 맞은편 일본식 정원과 고급 스파,4.6
호텔 가온 교토,교토,京都府京都市下京区東塩小路町721-1,2인실,110000,JR교토역 3분 심플하지만 깔끔한 객실,4.0
미츠이 가든 호텔 교토,교토,京都府京都市中京区三条通烏丸西入御倉町80,2인실,130000,대욕장과 노천탕 전통과 모던이 조화된 디자인,4.2
호텔 그랑비아 교토,교토,京都府京都市下京区烏丸通塩小路下ル JR京都駅内,4인실,250000,역사 위에 지어진 특급 교통 편리함과 파노라마 시티뷰,4.4
교토 요리 인료칸 카이세키,교토,京都府京都市上京区一条通烏丸西入俵屋町463,스위트,380000,소규모 전통 료칸 개인 정원과 계절 가이세키 제공,4.7
소테쓰 프레사 인 교토 시조,교토,京都府京都市下京区綾小路通油小路東入,2인실,90000,지하철 시조역 1분 깔끔한 비즈니스 호텔,3.9
교토 센추리 호텔,교토,京都府京都市下京区東塩小路町680,4인실,210000,넓은 로비와 클래식 객실 가족 여행객에 인기,4.2
로쿠 교토 LXR,교토,京都府京都市北区衣笠鏡石町44-1,스위트,550000,킨카쿠지 근처 숲속 온천 풀빌라 스타일 프라이빗 다이닝,4.8
아난티 류진,교토,京都府京都市東山区八坂上町372,스위트,500000,고즈넉한 기요미즈데라 옆 전통 차실과 노천탕 완비,4.7
호텔 니코 나라,나라,奈良県奈良市三条本町8-1,4인실,230000,JR나라역 직결 가성비 좋은 패밀리 타입 객실,4.2
노보리오지 호텔 나라,나라,奈良県奈良市登大路町40-1,2인실,150000,나라공원 도보권 사슴 테마 조식이 귀여운 호텔,4.1
호텔 뉴 와카사,나라,奈良県奈良市北半田東町1,스위트,300000,노천탕 룸에서 토다이지 대불전을 조망 전통 료칸식 서비스,4.5
JW 메리어트 나라,나라,奈良県奈良市三条大路1-1-1,스위트,520000,최신 럭셔리 브랜드 미슐랭 셰프 레스토랑과 스파,4.7
오사기 료칸,나라,奈良県奈良市高畑町246,2인실,120000,소박한 다다미 객실 정성 어린 일본식 조식 제공,4.0
호텔 한큐 레스파 나라,나라,奈良県奈良市北部 2-1-1,4인실,210000,온천 스파와 키즈풀 가족 중심 어메니티 완비,4.1
스마일 호텔 나라,나라,奈良県奈良市芝辻町4-21-2,2인실,80000,저렴하지만 친절한 서비스 무료 커피 스테이션,3.8
Asukasou,나라,奈良県奈良市高畑町1113-3,스위트,270000,전통정원과 노천탕 고요한 분위기의 고급 료칸,4.4
호텔 PAGU 유,나라,奈良県奈良市油阪町1-2,2인실,90000,밤늦은 체크인 가능 나라역 인근 쇼핑 편리,3.9
Nara Royal Hotel,나라,奈良県奈良市法華寺町254-1,4인실,190000,대욕장과 사우나 넓은 주차장으로 단체 관광객 인기,4.0
바우어락 호텔,취리히,Talstrasse 1 8001 Zürich,스위트,750000,리마트강과 구시가 전망 175년 전통을 품은 궁정 스타일,4.8
스토르헨 취리히,취리히,Weinplatz 2 8001 Zürich,스위트,680000,카펠교와 닮은 목조 다리 뷰 미슐랭 레스토랑 운영,4.7
파크 하얏트 취리히,취리히,Beethovenstrasse 21 8002 Zürich,스위트,720000,현대적 미니멀 룸과 아트 컬렉션 호수까지 도보 5분,4.6
마릿츠 취리히,취리히,Neumühlequai 42 8006 Zürich,4인실,350000,중앙역 맞은편 가족·비즈니스 모두 편리한 위치,4.3
시티즌M 취리히,취리히,Talacker 42 8001 Zürich,2인실,180000,스마트 체크인·태블릿 제어 객실 힙한 라운지 바,4.2
호텔 알렉산더,취리히,Niederdorfstrasse 40 8001 Zürich,2인실,200000,니더도르프 골목 중심 조용하고 아늑한 숙소,4.1
호텔 헬름하우스,취리히,Schifflände 30 8001 Zürich,2인실,220000,구시가지 뷰와 아트 감성 객실 무료 자전거 대여,4.3
오페라 호텔,취리히,Dufourstrasse 5 8008 Zürich,2인실,240000,오페라하우스 옆 클래식 부티크 호수 산책로 2분,4.4
라 레지던스 취리히,취리히,Universitätsstrasse 101 8006 Zürich,4인실,300000,장기 투숙형 아파트먼트 간이 주방 완비,4.0
플라타나우 호스텔,취리히,Plattenstrasse 26 8032 Zürich,도미토리,90000,학생·백팩커 인기 공동 주방과 정원 테라스,4.0
빅터리아 융프라우,인터라켄,Höheweg 41 3800 Interlaken,스위트,800000,알프스 파노라마 스파와 벨에포크 건축 궁극의 휴양,4.9
호텔 인터라켄,인터라켄,Höheweg 74 3800 Interlaken,4인실,320000,1451년 설립된 역사적 호텔 하더쿨름 케이블카 인접,4.4
Backpackers Villa Sonnenhof,인터라켄,Alpenstrasse 16 3800 Interlaken,도미토리,100000,무료 조식·주방·라운지 액티비티 예약 데스크 제공,4.3
Lindner Grand Hotel Beau Rivage,인터라켄,Höheweg 211 3800 Interlaken,4인실,360000,아레강 전망과 실내풀 클래식 유럽풍,4.2
Hotel Du Nord,인터라켄,Höheweg 70 3800 Interlaken,2인실,280000,넓은 발코니에서 융프라우 뷰 조용한 분위기,4.1
Hotel Krebs,인터라켄,Bahnhofstrasse 4 3800 Interlaken,2인실,260000,인터라켄 웨스트역 1분 스위스식 조식 뷔페,4.0
Alplodge,인터라켄,Marktgasse 59 3800 Interlaken,도미토리,90000,옥상 테라스에서 패러글라이더 감상 셀프 키친,4.1
Hotel Beausite,인터라켄,Seestrasse 16 3800 Interlaken,2인실,240000,가성비 좋은 융프라우 뷰 아늑한 샬레 스타일,4.2
Carlton-Europe Vintage,인터라켄,Hoeheweg 94 3800 Interlaken,4인실,310000,빈티지 인테리어와 야외 자쿠지 친환경 호텔,4.3
Balmers Hostel,인터라켄,Hauptstrasse 23 3800 Interlaken,도미토리,85000,네온 파티바와 해먹 정원 젊은 여행자들의 허브,4.0
호텔 슈바이처호프 루체른,루체른,Schweizerhofquai 6002 Luzern,스위트,760000,로이스강과 카펠교 전경 클래식 음악 페스티벌 지정 호텔,4.8
호텔 데 발랑스,루체른,Weinmarkt 6004 Luzern,스위트,720000,리네아 모자이크 벽화와 미슐랭 레스토랑 로맨틱 분위기,4.6
호텔 데크셀시어,루체른,Bundesplatz 18 6003 Luzern,4인실,310000,역 3분 거리 모던 팝아트 감성 객실,4.2
HOTEL MONOPOL,루체른,Pilatusstrasse 1 6003 Luzern,4인실,290000,돔형 지붕 루프바에서 야경 감상 교통 요지,4.1
ibis Styles Lucerne,루체른,Friedenstrasse 8 6004 Luzern,2인실,200000,실속형 브랜드 알록달록 팝아트 인테리어,4.0
Seehotel Kastanienbaum,루체른,St. Niklausenstrasse 105 6047 Kastanienbaum,2인실,260000,루체른 호수 수상 데크와 사우나 선셋이 아름다운 호텔,4.3
Radisson Blu Hotel Lucerne,루체른,Inseliquai 12 6005 Luzern,4인실,340000,컨벤션 센터 인접 피트니스와 바다 같은 호수 뷰,4.2
Backpackers Luzern,루체른,Alpenquai 42 6005 Luzern,도미토리,90000,호숫가 호스텔 주방·카약 렌탈 제공,4.2
Grand Hotel National,루체른,Haldenstrasse 4 6006 Luzern,스위트,780000,19세기 궁정 스타일 실내풀과 레이크사이드 테라스,4.7
Cascada Boutique Hotel,루체른,Bundesplatz 18 6003 Luzern,2인실,230000,폭포 테마 객실 벽화 조식 타코바로 유명,4.3
벨뷰 팰리스 베른,베른,Kochergasse 3-5 3011 Bern,스위트,700000,연방궁전 옆 150년 전통 아레강과 알프스 파노라마,4.8
스위스호텔 Kursaal Bern,베른,Kornhausstrasse 3 3013 Bern,4인실,330000,카지노·컨벤션 복합 모던 객실과 도심 공원 전망,4.3
홀리데이 인 베른 웨스트사이드,베른,Riedbachstrasse 96 3027 Bern,4인실,280000,쇼핑몰·워터파크 직결 가족 휴양 적합,4.1
NH 베른 더 브리스톨,베른,Schauplatzgasse 10 3011 Bern,2인실,260000,아르누보 외관 클래식 라이브러리 라운지 보유,4.2
호텔 아레 아머,베른,Zeughausgasse 41 3011 Bern,2인실,220000,구시가지 중심 테라스 레스토랑에서 곰 공원 뷰,4.1
호텔 알레나,베른,Guisanplatz 2 3014 Bern,2인실,210000,전시센터 인근 넓은 주차와 간편 체크인,4.0
Hotel Bern,베른,Zeughausgasse 9 3011 Bern,2인실,240000,1914년 건물 리노베이션 스위스식 조식 호평,4.2
ibis Styles Bern City,베른,Zieglerstrasse 66 3007 Bern,2인실,190000,팝아트 분위기 트램으로 중앙역 5분,4.0
Youth Hostel Bern,베른,Weihergasse 4 3005 Bern,도미토리,80000,아레강변 호스텔 BBQ 테라스와 공용 주방,4.1
Hotel Savoy Bern,베른,Neuengasse 26 3011 Bern,4인실,320000,현대적 객실과 레인샤워 쇼핑가 도보 1분,4.3
만다린 오리엔탈 리츠 마드리드,마드리드,Plaza de la Lealtad 5 28014 Madrid,스위트,680000,세라노 거리에 위치한 궁전급 호텔 프라도 미술관 도보 1분,4.9
그란 멜리아 팔라시오 두케스,마드리드,Cuesta de Santo Domingo 5 28013 Madrid,스위트,550000,루프탑 수영장서 왕궁 전망 벨 에포크 정원,4.7
호텔 빌라 레알,마드리드,Plaza de las Cortes 10 28014 Madrid,4인실,300000,로마 모자이크 컬렉션 테라스 바 인기,4.3
메트로폴리탄 호텔 마드리드,마드리드,Gran Vía 34 28013 Madrid,2인실,220000,그란비아 중심 현대적 객실과 헬스클럽,4.2
Hostal Persal,마드리드,Plaza del Ángel 12 28012 Madrid,2인실,90000,60년 역사 가성비 호스텔 솔 광장 가까움,3.9
Dear Hotel Madrid,마드리드,Gran Vía 80 28013 Madrid,4인실,260000,스카이풀과 파노라믹 뷰 스칸디 인테리어,4.4
Only YOU Boutique Hotel,마드리드,Calle Barquillo 21 28004 Madrid,2인실,250000,보헤미안 감성 라운지 조식이 맛있기로 유명,4.5
Generator Madrid,마드리드,Calle San Bernardo 2 28013 Madrid,도미토리,80000,루프바와 게임룸 젊은 배낭객 허브,4.1
Hotel Atlantico Madrid,마드리드,Gran Vía 38 28013 Madrid,2인실,240000,클래식 프렌치 외관 루프테라스 카페,4.3
Room Mate Oscar,마드리드,Plaza de Pedro Zerolo 12 28004 Madrid,2인실,200000,루프풀·칵테일 컬러풀 모던 디자인,4.2
호텔 알폰소 XIII,세비야,Calle San Fernando 2 41004 Sevilla,스위트,620000,안달루시아 무데하르 건축 정원 수영장과 미식 레스토랑,4.8
Eurostars Torre Sevilla,세비야,Calle Gonzalo Jiménez de Quesada 2 41092 Sevilla,스위트,480000,37층 스카이라운지에서 과달키비르강 전망,4.6
Hotel Casa 1800,세비야,Calle Rodrigo Caro 6 41004 Sevilla,4인실,310000,히랄다 전망 루프테라스 고딕 양식 파티오,4.4
EME Catedral Hotel,세비야,Calle Alemanes 27 41004 Sevilla,4인실,350000,성당 벽면에 맞닿은 루프바 모던 아트 감성,4.3
H10 Casa de la Plata,세비야,Calle Lagar 2-4 41004 Sevilla,2인실,240000,세비야식 타일 장식 객실 시내 관광 최적,4.2
Barceló Sevilla Renacimiento,세비야,Avenida Álvaro Alonso Barba s/n 41092 Sevilla,4인실,330000,강변 컨벤션 리조트 실내외 수영장,4.2
Hotel Amadeus Sevilla,세비야,Calle Farnesio 6 41004 Sevilla,2인실,210000,클래식 음악 테마 객실 루프자쿠지,4.3
Hotel Zaida,세비야,Calle San Roque 26 41001 Sevilla,2인실,140000,안달루시아 전통 가정집 개조 가성비 호평,4.0
Hostel One Catedral,세비야,Calle Jamerdana 4 41004 Sevilla,도미토리,70000,무료 저녁식사·도보투어 제공 커뮤니티 활발,4.2
Hotel Inglaterra Sevilla,세비야,Plaza Nueva 7 41001 Sevilla,2인실,230000,1870년 역사 플라멩코 라이브 바 운영,4.2
Parador de Granada,그라나다,Real de la Alhambra s/n 18009 Granada,스위트,580000,알함브라 정원 속 전통 수도원 건물 궁전 야경 독점,4.8
Eurostars Gran Via,그라나다,Gran Vía de Colón 20 18010 Granada,4인실,300000,루프 스파에서 시에라 네바다 뷰 현대적 객실,4.3
Hotel Alhambra Palace,그라나다,Plaza Arquitecto García de Paredes 1 18009 Granada,스위트,420000,모리스크 궁전 인테리어 시내 파노라마,4.5
NH Collection Victoria,그라나다,Calle Puerta Real 3 18009 Granada,4인실,270000,1891년 건물 쇼핑거리 중심 위치,4.2
Hotel Anacapri,그라나다,Calle Joaquín Costa 7 18010 Granada,2인실,150000,알바이신 지구 접근 보헤미안 감성,4.1
Hospes Palacio de los Patos,그라나다,Calle Solarillo de Gracia 1 18002 Granada,스위트,450000,19세기 궁전+모던 윙 조합 수로 스파,4.6
Carmen de la Alcubilla del Caracol,그라나다,Camino del Avellano 4 18010 Granada,2인실,200000,언덕 위 정원 테라스 소규모 부티크,4.4
Room Mate Leo,그라나다,Calle Mesones 15 18001 Granada,2인실,180000,스페인식 타일 디자인 루프테라스 조식,4.3
Sercotel Palacio de los Gamboa,그라나다,Calle Carrera del Darro 17 18010 Granada,4인실,260000,안달루시아 파티오와 대리석 분수 고풍스러운 객실,4.2
Hostal Rodri,그라나다,Calle Laurel de San Matias 8 18009 Granada,도미토리,70000,친절한 가족 운영 알함브라 셔틀 버스 정류장 인근,4.4
W Barcelona,바르셀로나,Plaça Rosa dels Vents 1 08039 Barcelona,스위트,650000,세일 돛 모양 랜드마크 루프바와 인피니티 풀,4.7
Majestic Hotel & Spa,바르셀로나,Passeig de Gràcia 68 08007 Barcelona,스위트,620000,가우디 건축 뷰 루프풀과 럭셔리 스파,4.6
Hotel Arts Barcelona,바르셀로나,Marina 19-21 08005 Barcelona,스위트,700000,바다 전면 파노라마 미슐랭 레스토랑 엔리케스,4.8
Ohla Barcelona,바르셀로나,Via Laietana 49 08003 Barcelona,4인실,330000,루프 스카이풀 신비한 눈 모티브 외관,4.4
Casa Bonay,바르셀로나,Gran Via de les Corts Catalanes 700 08010 Barcelona,2인실,250000,보헤미안 카페와 루프바 현지 예술 전시,4.3
H10 Cubik,바르셀로나,Via Laietana 69 08003 Barcelona,2인실,230000,레고 블록 컨셉 인테리어 시티뷰 루프,4.2
Generator Barcelona,바르셀로나,Carrer de Còrsega 373 08037 Barcelona,도미토리,80000,그래피티 벽과 핑퐁 라운지 젊은 여행객 인기,4.1
Hostal Grau,바르셀로나,Carrer de les Ramellers 27 08002 Barcelona,2인실,140000,친환경 부티크 라스람블라 2분,4.1
Hotel 1898,바르셀로나,La Rambla 109 08002 Barcelona,4인실,340000,옛 담배회사 건물 실내외 수영장과 타일 스파,4.5
Kimpton Vividora Hotel,바르셀로나,Carrer del Duc 15 08002 Barcelona,4인실,360000,펫프렌들리 루프탑 바와 무료 자전거,4.4
InterContinental Nha Trang,나트랑,32-34 Tran Phu Nha Trang,스위트,450000,해변 도로 오션뷰 발코니와 고급 스파 키즈클럽 완비,4.7
Vinpearl Resort Nha Trang,나트랑,Hon Tre Island Nha Trang,4인실,400000,전용 섬 워터파크·골프장 가족 올인원 리조트,4.5
Alma Resort Cam Ranh,나트랑,Nguyen Tat Thanh Blvd Cam Ranh,스위트,420000,250m 인피니티 풀과 프라이빗 빌라 파도소리 속 휴식,4.4
Sheraton Nha Trang Hotel,나트랑,26-28 Tran Phu Nha Trang,4인실,350000,루프풀&칵테일바 대형 수족관 뷔페 레스토랑,4.3
Liberty Central Nha Trang,나트랑,7-9 Biet Thu Nha Trang,2인실,180000,시내 중심 가성비호텔 루프 톱풀 제공,4.1
Amiana Resort,나트랑,Nha Trang Bay Nha Trang,스위트,380000,천연 석호 바다풀 스파 동굴 열대 정원,4.5
Novotel Nha Trang,나트랑,50 Tran Phu Nha Trang,2인실,220000,모던 객실과 고층 오션뷰 전용 비치 라운지,4.2
Mojzo Inn,나트랑,120/36 Tran Hung Dao Nha Trang,도미토리,60000,무료 조식 팬케이크 루프톱 해먹 친절한 스태프,4.2
Evason Ana Mandara,나트랑,Beachside Tran Phu Blvd Nha Trang,스위트,460000,해변에 바로 이어진 빌라 전통 베트남식 스파,4.6
Tabalo Hostel,나트랑,34/2/7 Nguyen Thien Thuat Nha Trang,도미토리,50000,모비딕 컨셉 캡슐 실속형 배낭객 인기,4.0
Ana Mandara Villas Dalat,달랏,Le Lai Street Ward 5 Dalat,스위트,400000,식민지풍 빌라 단지 소나무 숲 뷰와 노천 수영장,4.6
Dalat Palace Heritage Hotel,달랏,02 Tran Phu Dalat,스위트,420000,1922년 개관 프렌치 아르데코 호수 앞 정원 산책,4.7
Hôtel Colline,달랏,10 Phan Boi Chau Dalat,4인실,280000,달랏 시장 옆 현대적 쇼핑몰 복합 호텔,4.2
Terracotta Hotel & Resort Dalat,달랏,Zone 7.9 Tuyen Lam Lake Dalat,4인실,300000,투옌람 호수 옆 전원풍 리조트 실내 수영장,4.3
TTC Hotel Premium Ngoc Lan,달랏,42 Nguyen Chi Thanh Dalat,2인실,230000,달랏 대성당 전망 사우나와 마사지 센터,4.1
Dalat Wonder Resort,달랏,19 Hoa Hong Tuyen Lam Lake Dalat,4인실,310000,호수 수상 빌라와 보트 야경이 낭만적,4.2
Zen Valley Dalat,달랏,38 Khe Sanh Ward 10 Dalat,2인실,190000,전실 발코니 산안개 속 요가·명상 클래스,4.3
Crazy House Dalat,달랏,03 Huynh Thuc Khang Dalat,도미토리,80000,동화 같은 기괴 건축 체험형 숙박,4.1
Tulip Hotel Dalat,달랏,26-28 Ba Thang Hai Dalat,2인실,120000,도심 접근성 우수 꽃 테마 객실,3.9
Green Leaves Hotel,달랏,Alley 49 Hai Ba Trung Dalat,2인실,100000,아늑한 가든 테라스 합리적 가격,4.0
